ACC_X 0, ACC_Y 0, ACC_Z 0, ACC_X 1, ACC_Y 1, ACC_Z 1, ACC_X 2, ACC_Y 2, ACC_Z 2, Time[ms]
0.000000, 0.000000, 0.000000, -0.385266, 0.761253, -0.553239, -0.732932, 0.619648, -0.331553,  --- 48.057369
0.000000, 0.000000, 0.000000, -0.385266, 0.761253, -0.553239, -0.732932, 0.619648, -0.331553,  --- 49.057598
0.000000, 0.000000, 0.000000, -0.375011, 0.767113, -0.535172, -0.726096, 0.623066, -0.338389,  --- 50.057858
0.000000, 0.000000, 0.000000, -0.375011, 0.767113, -0.535172, -0.726096, 0.623066, -0.338389,  --- 51.074928
0.000000, 0.000000, 0.000000, -0.378429, 0.775414, -0.531754, -0.730002, 0.629902, -0.335948,  --- 52.075241
0.000000, 0.000000, 0.000000, -0.378429, 0.775414, -0.531754, -0.730002, 0.629902, -0.335948,  --- 53.075619
0.000000, 0.000000, 0.000000, -0.385754, 0.773949, -0.538590, -0.732444, 0.613300, -0.332530,  --- 54.075886
0.000000, 0.000000, 0.000000, -0.385754, 0.773949, -0.538590, -0.732444, 0.613300, -0.332530,  --- 55.076160
0.000000, 0.000000, 0.000000, -0.389172, 0.772484, -0.535172, -0.736350, 0.622577, -0.338389,  --- 56.076469
0.000000, 0.000000, 0.000000, -0.389172, 0.772484, -0.535172, -0.736350, 0.622577, -0.338389,  --- 57.076679
0.000000, 0.000000, 0.000000, -0.381359, 0.780297, -0.550310, -0.733421, 0.622089, -0.347178,  --- 58.076935
0.000000, 0.000000, 0.000000, -0.381359, 0.780297, -0.550310, -0.733421, 0.622089, -0.347178,  --- 59.077168
0.000000, 0.000000, 0.000000, -0.380871, 0.783227, -0.556169, -0.730979, 0.625507, -0.341807,  --- 60.077477
0.000000, 0.000000, 0.000000, -0.380871, 0.783227, -0.556169, -0.730979, 0.625507, -0.341807,  --- 61.079502
0.000000, 0.000000, 0.000000, -0.381359, 0.773461, -0.531266, -0.727561, 0.623554, -0.334483,  --- 62.079937
0.000000, 0.000000, 0.000000, -0.381359, 0.773461, -0.531266, -0.727561, 0.623554, -0.334483,  --- 63.080280
0.000000, 0.000000, 0.000000, -0.373546, 0.779320, -0.551286, -0.732444, 0.612323, -0.346202,  --- 64.080574
0.000000, 0.000000, 0.000000, -0.373546, 0.779320, -0.551286, -0.732444, 0.612323, -0.346202,  --- 65.080826
0.000000, 0.000000, 0.000000, -0.380871, 0.781762, -0.535172, -0.731467, 0.630390, -0.345714,  --- 66.095634
0.000000, 0.000000, 0.000000, -0.380871, 0.781762, -0.535172, -0.731467, 0.630390, -0.345714,  --- 67.096214
0.000000, 0.000000, 0.000000, -0.383801, 0.770043, -0.546892, -0.728049, 0.629413, -0.341319,  --- 68.118050
0.000000, 0.000000, 0.000000, -0.383801, 0.770043, -0.546892, -0.728049, 0.629413, -0.341319,  --- 69.118439
0.000000, 0.000000, 0.000000, -0.370617, 0.766136, -0.537614, -0.726096, 0.616718, -0.345714,  --- 70.120705
0.000000, 0.000000, 0.000000, -0.370617, 0.766136, -0.537614, -0.726096, 0.616718, -0.345714,  --- 71.121140
0.000000, 0.000000, 0.000000, -0.374523, 0.771019, -0.552751, -0.727073, 0.627460, -0.349132,  --- 72.121399
0.000000, 0.000000, 0.000000, -0.374523, 0.771019, -0.552751, -0.727073, 0.627460, -0.349132,  --- 73.121643
0.000000, 0.000000, 0.000000, -0.379894, 0.766136, -0.528336, -0.719748, 0.626972, -0.342295,  --- 74.121834
0.000000, 0.000000, 0.000000, -0.379894, 0.766136, -0.528336, -0.719748, 0.626972, -0.342295,  --- 75.139130
0.000000, 0.000000, 0.000000, -0.374035, 0.761253, -0.532243, -0.730002, 0.618183, -0.334483,  --- 76.139526
0.000000, 0.000000, 0.000000, -0.374035, 0.761253, -0.532243, -0.730002, 0.618183, -0.334483,  --- 77.144035
0.000000, 0.000000, 0.000000, -0.370617, 0.761253, -0.542009, -0.730491, 0.635273, -0.328623,  --- 78.144485
0.000000, 0.000000, 0.000000, -0.370617, 0.761253, -0.542009, -0.730491, 0.635273, -0.328623,  --- 79.154984
0.000000, 0.000000, 0.000000, -0.382336, 0.775414, -0.526383, -0.725120, 0.628437, -0.324717,  --- 80.155563
0.000000, 0.000000, 0.000000, -0.382336, 0.775414, -0.526383, -0.725120, 0.628437, -0.324717,  --- 81.155930
0.000000, 0.000000, 0.000000, -0.370128, 0.771996, -0.530778, -0.733909, 0.622089, -0.336436,  --- 82.156166
0.000000, 0.000000, 0.000000, -0.370128, 0.771996, -0.530778, -0.733909, 0.622089, -0.336436,  --- 83.161339
0.000000, 0.000000, 0.000000, -0.380383, 0.766625, -0.535661, -0.729514, 0.617206, -0.333506,  --- 84.169762
0.000000, 0.000000, 0.000000, -0.380383, 0.766625, -0.535661, -0.729514, 0.617206, -0.333506,  --- 85.170258
0.000000, 0.000000, 0.000000, -0.375011, 0.778832, -0.533219, -0.730979, 0.611347, -0.339366,  --- 86.170700
0.000000, 0.000000, 0.000000, -0.375011, 0.778832, -0.533219, -0.730979, 0.611347, -0.339366,  --- 87.170883
0.000000, 0.000000, 0.000000, -0.375500, 0.783227, -0.549333, -0.735862, 0.625507, -0.338389,  --- 88.171181
0.000000, 0.000000, 0.000000, -0.375500, 0.783227, -0.549333, -0.735862, 0.625507, -0.338389,  --- 89.172714
0.000000, 0.000000, 0.000000, -0.373058, 0.781274, -0.546892, -0.729026, 0.629413, -0.340831,  --- 90.173042
0.000000, 0.000000, 0.000000, -0.373058, 0.781274, -0.546892, -0.729026, 0.629413, -0.340831,  --- 91.173241
0.000000, 0.000000, 0.000000, -0.374523, 0.778832, -0.544938, -0.735374, 0.628437, -0.333018,  --- 92.173447
0.000000, 0.000000, 0.000000, -0.374523, 0.778832, -0.544938, -0.735374, 0.628437, -0.333018,  --- 93.173767
0.000000, 0.000000, 0.000000, -0.373058, 0.776391, -0.525895, -0.735862, 0.625019, -0.328623,  --- 94.174072
0.000000, 0.000000, 0.000000, -0.373058, 0.776391, -0.525895, -0.735862, 0.625019, -0.328623,  --- 95.174286
0.000000, 0.000000, 0.000000, -0.382336, 0.779809, -0.546892, -0.738792, 0.626972, -0.344249,  --- 96.191223
0.000000, 0.000000, 0.000000, -0.382336, 0.779809, -0.546892, -0.738792, 0.626972, -0.344249,  --- 97.191704
0.000000, 0.000000, 0.000000, -0.382336, 0.773949, -0.556169, -0.736839, 0.620136, -0.352061,  --- 98.192001
0.000000, 0.000000, 0.000000, -0.382336, 0.773949, -0.556169, -0.736839, 0.620136, -0.352061,  --- 99.192207
0.000000, 0.000000, 0.000000, -0.376476, 0.772484, -0.552751, -0.737327, 0.624042, -0.340831,  --- 100.197159
0.000000, 0.000000, 0.000000, -0.376476, 0.772484, -0.552751, -0.737327, 0.624042, -0.340831,  --- 101.197556
0.000000, 0.000000, 0.000000, -0.382824, 0.772973, -0.543473, -0.737327, 0.616718, -0.347667,  --- 102.197906
0.000000, 0.000000, 0.000000, -0.382824, 0.772973, -0.543473, -0.737327, 0.616718, -0.347667,  --- 103.198273
0.000000, 0.000000, 0.000000, -0.387707, 0.769066, -0.540544, -0.743675, 0.620624, -0.338389,  --- 104.198952
0.000000, 0.000000, 0.000000, -0.387707, 0.769066, -0.540544, -0.743675, 0.620624, -0.338389,  --- 105.199417
0.000000, 0.000000, 0.000000, -0.382824, 0.765648, -0.541520, -0.737327, 0.619159, -0.333994,  --- 106.199615
0.000000, 0.000000, 0.000000, -0.382824, 0.765648, -0.541520, -0.737327, 0.619159, -0.333994,  --- 107.199821
0.000000, 0.000000, 0.000000, -0.389660, 0.770043, -0.548845, -0.728538, 0.622089, -0.341319,  --- 108.216438
0.000000, 0.000000, 0.000000, -0.389660, 0.770043, -0.548845, -0.728538, 0.622089, -0.341319,  --- 109.216827
0.000000, 0.000000, 0.000000, -0.381847, 0.768578, -0.538590, -0.738792, 0.614276, -0.336436,  --- 110.217033
0.000000, 0.000000, 0.000000, -0.381847, 0.768578, -0.538590, -0.738792, 0.614276, -0.336436,  --- 111.217247
0.000000, 0.000000, 0.000000, -0.383312, 0.773949, -0.530778, -0.731956, 0.616718, -0.332530,  --- 112.217445
0.000000, 0.000000, 0.000000, -0.383312, 0.773949, -0.530778, -0.731956, 0.616718, -0.332530,  --- 113.217819
0.000000, 0.000000, 0.000000, -0.379894, 0.769066, -0.545427, -0.726096, 0.614276, -0.344249,  --- 114.218170
0.000000, 0.000000, 0.000000, -0.379894, 0.769066, -0.545427, -0.726096, 0.614276, -0.344249,  --- 115.218559
0.000000, 0.000000, 0.000000, -0.376964, 0.773949, -0.547868, -0.736839, 0.614276, -0.349620,  --- 116.218826
0.000000, 0.000000, 0.000000, -0.376964, 0.773949, -0.547868, -0.736839, 0.614276, -0.349620,  --- 117.219116
0.000000, 0.000000, 0.000000, -0.376964, 0.773461, -0.540544, -0.741722, 0.614765, -0.333506,  --- 118.219444
